"Game Reference,Date,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS"
"202101150UTA,1/15/2021,Clint Capela,capelca01,27.16,9,0.889,0,0,,0,0,,1,10,11,0,0,0,0,3,16,18"
"202101180LAL,1/18/2021,James Wiseman,wisemja01,12.51,4,0.5,0,0,,0,0,,0,3,3,0,1,1,5,5,4,8"
"202102020UTA,2/2/2021,Mason Plumlee,plumlma01,28.16,11,0.636,0,0,,3,3,1,6,8,14,2,1,0,0,2,17,25"
"202102280DET,2/28/2021,Mason Plumlee,plumlma01,20.1,5,0.8,0,0,,1,2,0.5,1,4,5,1,0,0,1,2,9,12"
"202103200LAC,3/20/2021,Bismack Biyombo,biyombi01,26.01,4,0.75,0,0,,0,0,,6,1,7,1,0,0,3,4,6,8"
"202103230NYK,3/23/2021,Garrison Mathews,mathega01,21.04,1,1,1,1,1,2,3,0.667,0,4,4,0,0,0,1,2,5,6"
"202103310DET,3/31/2021,Mason Plumlee,plumlma01,29.48,11,0.727,0,0,,2,2,1,1,2,3,2,0,1,0,3,18,24"
"202104010BRK,4/1/2021,Bismack Biyombo,biyombi01,10.31,4,0.25,0,0,,0,1,0,2,1,3,1,0,0,2,1,2,9"
"202104020PHO,4/2/2021,Moses Brown,brownmo01,23.46,4,0,0,0,,1,2,0.5,3,4,7,0,1,1,1,1,1,10"
"202104160DET,4/16/2021,Moses Brown,brownmo01,24.15,9,0.556,0,0,,2,3,0.667,4,4,8,0,0,2,1,2,12,21"
"202104180TOR,4/18/2021,Moses Brown,brownmo01,20.15,3,0,0,0,,0,0,,1,3,4,0,0,0,1,3,0,6"
"202104240DAL,4/24/2021,Andre Drummond,drumman01,29.32,5,0.6,0,0,,0,0,,0,12,12,1,3,0,2,2,6,10"
"202105120BRK,5/12/2021,DeMar DeRozan,derozde01,29.33,14,0.643,0,0,,3,4,0.75,0,2,2,5,1,0,2,4,21,32"
"202106010PHO,6/1/2021,Kentavious Caldwell-Pope,caldwke01,15.07,1,0,0,0,,0,0,,0,1,1,2,1,0,1,1,0,2"
"202210230ATL,10/23/2022,Clint Capela,capelca01,22.57,8,0.75,0,0,,2,2,1,5,5,10,1,1,1,1,4,14,18"
"202210280ORL,10/28/2022,Mason Plumlee,plumlma01,20.32,2,0.5,0,0,,0,0,,1,3,4,4,0,0,2,3,2,4"
"202210280MIN,10/28/2022,Damian Jones,jonesda03,23.33,4,0.25,0,0,,1,2,0.5,4,4,8,1,0,1,3,3,3,10"
"202211050PHO,11/5/2022,Jerami Grant,grantje01,25.59,10,0.4,1,1,1,5,6,0.833,2,3,5,3,0,1,3,1,14,27"
"202211160PHO,11/16/2022,Draymond Green,greendr01,29.19,3,1,1,1,1,2,2,1,0,2,2,8,3,0,3,2,9,9"
"202211250BOS,11/25/2022,Harrison Barnes,barneha02,22.36,9,0.444,0,0,,4,4,1,3,2,5,1,0,0,2,3,12,22"
"202212020PHO,12/2/2022,Alperen ÅžengÃ¼n,sengual01,23.54,7,0.714,0,0,,3,5,0.6,3,1,4,2,2,1,2,2,13,19"
"202212050CHO,12/4/2022,Ivica Zubac,zubaciv01,29.13,4,0.75,0,0,,3,5,0.6,4,4,8,0,0,2,2,2,9,13"
"202212120MEM,12/12/2022,Onyeka Okongwu,okongon01,28.28,8,0.25,0,0,,2,4,0.5,7,3,10,1,2,1,2,4,6,20"
"202301130SAS,1/13/2023,Jakob Poeltl,poeltja01,26.06,9,0.222,0,0,,4,4,1,3,7,10,5,0,1,3,2,8,22"
"202301170SAS,1/16/2023,Nic Claxton,claxtni01,28.18,11,0.636,0,0,,1,1,1,3,8,11,4,1,4,3,6,15,23"
"202302070NOP,2/7/2023,Clint Capela,capelca01,23.02,7,0.714,0,0,,3,5,0.6,2,6,8,0,0,0,0,2,13,19"
"202302080UTA,2/8/2023,Walker Kessler,kesslwa01,30.1,10,0.6,0,0,,4,5,0.8,4,5,9,1,1,3,0,0,16,25"
"202303170CLE,3/17/2023,Daniel Gafford,gaffoda01,21.31,4,0.5,0,0,,2,2,1,2,3,5,2,1,1,2,3,6,10"
"202303180MEM,3/18/2023,Kevon Looney,looneke01,20.23,7,0.429,0,0,,4,4,1,3,0,3,1,2,3,0,2,10,18"
"202303220UTA,3/22/2023,Walker Kessler,kesslwa01,23.44,6,0.667,0,0,,0,3,0,2,3,5,1,0,3,0,1,8,15"
"202304040WAS,4/4/2023,Daniel Gafford,gaffoda01,21.09,10,0.7,0,0,,1,2,0.5,2,5,7,2,0,0,1,4,15,22"
"202304050DET,4/5/2023,Jalen Duren,durenja01,34.54,11,0.818,0,0,,0,0,,3,5,8,2,1,0,2,3,18,22"
"202304280GSW,4/28/2023,Kevon Looney,looneke01,27.25,6,0.5,0,0,,1,2,0.5,6,7,13,1,2,0,2,1,7,14"
"202305030BOS,5/3/2023,P.J. Tucker,tuckepj01,21.21,3,0.667,1,1,1,0,0,,0,4,4,0,0,1,1,3,5,7"
"202101010DAL,1/1/2021,Jimmy Butler,butleji01,26.49,6,0,0,0,,2,3,0.667,1,2,3,2,2,0,3,1,2,15"
"202101060NYK,1/6/2021,Rudy Gobert,goberru01,35,9,0.778,0,0,,0,3,0,2,9,11,2,0,5,0,1,14,21"
"202101140PHI,1/14/2021,Precious Achiuwa,achiupr01,27.24,6,0.667,0,0,,2,6,0.333,5,6,11,2,0,0,2,1,10,18"
"202101170BOS,1/17/2021,Tristan Thompson,thomptr01,26.12,5,0.2,0,0,,1,2,0.5,5,1,6,0,1,1,2,1,3,12"
"202102050ORL,2/5/2021,Daniel Gafford,gaffoda01,10.43,2,1,0,0,,0,0,,2,2,4,0,0,1,0,1,4,4"
"202102220PHO,2/22/2021,Enes Freedom,kanteen01,27.54,7,0.429,0,0,,0,0,,4,11,15,0,1,1,0,4,6,14"
"202102230NYK,2/23/2021,Nerlens Noel,noelne01,23.39,6,0.667,0,0,,0,1,0,2,3,5,0,1,3,2,3,8,13"
"202103160CHI,3/16/2021,Moses Brown,brownmo01,29.48,16,0.563,0,0,,2,3,0.667,8,8,16,0,0,5,1,6,20,35"
"202103200LAL,3/20/2021,Kentavious Caldwell-Pope,caldwke01,20.44,5,0,0,0,,0,1,0,0,2,2,0,1,0,1,0,0,11"
"202103220LAC,3/22/2021,Ivica Zubac,zubaciv01,24.31,7,0.714,0,0,,2,2,1,4,5,9,1,1,2,0,1,12,16"
"202104020IND,4/2/2021,Domantas Sabonis,sabondo01,27.29,7,0.571,0,0,,0,0,,2,8,10,4,1,0,2,0,8,14"
"202104020BOS,4/2/2021,Jae'Sean Tate,tateja01,22.16,8,0.5,1,1,1,0,0,,2,3,5,4,0,0,0,2,9,17"
"202104030WAS,4/3/2021,Alex Len,lenal01,13.22,2,0,0,0,,0,0,,2,3,5,1,1,2,1,2,0,4"
"202104070BOS,4/7/2021,Nerlens Noel,noelne01,27.12,4,0.5,0,0,,3,4,0.75,1,5,6,0,0,2,1,3,7,12"
"202104180CHO,4/18/2021,Rondae Hollis-Jefferson,holliro01,21.33,5,0.2,0,0,,5,6,0.833,3,2,5,1,0,0,0,2,7,16"
"202104280PHI,4/28/2021,Clint Capela,capelca01,24.18,13,0.308,0,0,,1,4,0.25,6,2,8,0,0,2,2,1,9,30"
"202104290IND,4/29/2021,JaKarr Sampson,sampsja02,20.2,6,0.667,0,0,,0,0,,1,4,5,0,0,1,1,5,8,12"
"202105050UTA,5/5/2021,Jakob Poeltl,poeltja01,12.51,8,0.5,0,0,,0,0,,3,1,4,1,2,0,0,3,8,16"
"202105060GSW,5/6/2021,Moses Brown,brownmo01,27.33,3,0.333,0,0,,0,0,,2,6,8,0,1,1,1,4,2,6"
"202105110IND,5/11/2021,Ben Simmons,simmobe01,36.45,16,0.563,0,0,,2,3,0.667,1,7,8,7,2,0,5,5,20,35"
"202105140PHI,5/14/2021,Wendell Carter Jr.,cartewe01,21.29,4,0,0,0,,0,0,,4,4,8,1,1,2,1,2,0,8"
"202105150SAS,5/15/2021,Drew Eubanks,eubandr01,22.58,7,0.714,0,0,,5,6,0.833,4,7,11,1,1,0,2,4,15,20"
"202105240MIL,5/24/2021,Bam Adebayo,adebaba01,28.38,11,0.455,0,0,,6,9,0.667,0,3,3,4,0,0,4,1,16,31"
"202210230GSW,10/23/2022,Harrison Barnes,barneha02,21.27,1,1,0,0,,2,4,0.5,0,2,2,0,1,0,2,1,4,6"
"202211040MIN,11/4/2022,Jaden McDaniels,mcdanja02,18.28,5,0.8,1,1,1,0,0,,1,1,2,1,0,1,4,2,9,11"
"202211050PHO,11/5/2022,Josh Hart,hartjo01,32.07,6,0.167,1,1,1,1,2,0.5,1,6,7,8,1,0,0,3,4,15"
"202211300UTA,11/30/2022,Ivica Zubac,zubaciv01,30.25,7,0.714,0,0,,2,2,1,2,5,7,0,0,1,2,3,12,16"
"202212130LAL,12/13/2022,Lonnie Walker IV,walkelo01,23.28,6,0.5,1,1,1,0,1,0,1,2,3,0,0,0,1,0,7,14"
"202212200MIA,12/20/2022,Bam Adebayo,adebaba01,36.41,15,0.8,0,0,,3,4,0.75,3,9,12,6,0,0,3,1,27,34"
"202212300TOR,12/30/2022,Deandre Ayton,aytonde01,30.58,10,0.2,0,0,,0,0,,1,6,7,3,0,0,2,2,4,20"
"202301070GSW,1/7/2023,Kevon Looney,looneke01,25.38,2,1,0,0,,3,4,0.75,5,7,12,2,1,0,1,2,7,8"
"202301130MIN,1/13/2023,Dario Å ariÄ‡,saricda01,18.03,4,0.5,0,0,,1,1,1,0,3,3,1,1,0,1,0,5,9"
"202301200DAL,1/20/2023,Bam Adebayo,adebaba01,34.49,14,0.5,0,0,,4,6,0.667,2,9,11,4,0,0,2,2,18,34"
"202301250OKC,1/25/2023,Clint Capela,capelca01,27.35,8,1,0,0,,2,6,0.333,5,5,10,0,1,1,0,2,18,22"
"202301280ORL,1/28/2023,Markelle Fultz,fultzma01,21.32,7,0.429,0,0,,1,2,0.5,0,1,1,3,0,0,2,3,7,16"
"202302040DEN,2/4/2023,John Collins,collijo01,30.11,5,0.6,0,0,,0,0,,1,3,4,3,0,1,0,2,6,10"
"202302040DEN,2/4/2023,Clint Capela,capelca01,26.23,10,0.5,0,0,,2,3,0.667,3,8,11,0,0,0,1,3,12,23"
"202302100LAC,2/10/2023,Ivica Zubac,zubaciv01,34.06,4,0.75,0,0,,0,0,,0,8,8,1,0,3,4,1,6,8"
"202302100MEM,2/10/2023,Rudy Gobert,goberru01,29.3,4,0.5,0,0,,4,4,1,2,8,10,2,0,2,1,3,8,12"
"202303030OKC,3/3/2023,Kelly Olynyk,olynyke01,26.3,5,0.8,1,1,1,6,6,1,0,3,3,3,0,3,4,1,15,17"
"202303140OKC,3/14/2023,Nic Claxton,claxtni01,38.37,7,0.571,0,0,,4,9,0.444,4,8,12,2,0,1,2,1,12,23"
"202303170CHO,3/17/2023,Nick Richards,richani01,13.13,0,,0,0,,2,2,1,1,1,2,0,0,1,2,4,2,2"
"202304020SAC,4/2/2023,Domantas Sabonis,sabondo01,39.19,12,0.75,1,1,1,7,12,0.583,2,6,8,6,1,1,3,4,26,37"
"202306090MIA,6/9/2023,Bam Adebayo,adebaba01,43.39,19,0.421,0,0,,4,4,1,2,9,11,3,0,1,7,1,20,42"
"202012230IND,12/23/2020,Mitchell Robinson,robinmi01,21.1,2,0.5,0,0,,1,2,0.5,2,4,6,0,0,3,0,3,3,6"
"202101180ATL,1/17/2021,Jarred Vanderbilt,vandeja01,29.13,4,0.75,0,0,,2,4,0.5,1,7,8,3,3,1,3,3,8,12"
"202102270ORL,2/27/2021,Michael Carter-Williams,cartemi01,25.3,4,0.5,0,0,,1,2,0.5,0,2,2,7,0,0,1,5,5,10"
"202103200LAL,3/20/2021,Damian Jones,jonesda03,15.21,1,1,0,0,,2,2,1,3,6,9,0,0,0,1,1,4,4"
"202103270WAS,3/27/2021,Mason Plumlee,plumlma01,26.32,9,0.444,0,0,,3,4,0.75,2,6,8,1,1,2,3,3,11,22"
"202103290SAS,3/29/2021,Jakob Poeltl,poeltja01,31.56,11,0.727,0,0,,1,2,0.5,7,4,11,2,0,3,2,2,17,24"
"202103290SAS,3/29/2021,Keldon Johnson,johnske04,25.28,8,0.25,0,0,,3,4,0.75,1,3,4,1,0,0,0,2,7,20"
"202104070ORL,4/7/2021,Wendell Carter Jr.,cartewe01,23.13,9,0.667,1,1,1,2,3,0.667,2,2,4,1,1,0,1,2,15,22"
"202104210DAL,4/21/2021,Mason Plumlee,plumlma01,32.05,4,1,0,0,,5,5,1,2,14,16,7,0,0,2,6,13,13"
"202104260DEN,4/25/2021,Jonas ValanÄiÅ«nas,valanjo01,23.1,9,0.667,0,0,,1,2,0.5,1,2,3,0,1,0,3,3,13,20"
"202104260DET,4/26/2021,Clint Capela,capelca01,28.21,16,0.375,0,0,,0,0,,5,10,15,2,0,1,1,1,12,32"
"202104260SAC,4/26/2021,Dwight Powell,poweldw01,12.41,4,0.5,0,0,,1,2,0.5,1,3,4,0,0,0,1,2,5,10"
"202104300BOS,4/30/2021,Jakob Poeltl,poeltja01,42.59,7,0.714,0,0,,5,7,0.714,6,4,10,1,1,1,2,4,15,21"
"202105030UTA,5/3/2021,DeMar DeRozan,derozde01,33.05,17,0.588,0,0,,2,2,1,0,1,1,6,3,1,0,3,22,36"
"202105030NOP,5/3/2021,Willy HernangÃ³mez,hernawi01,25.07,5,0.8,0,0,,2,2,1,0,7,7,1,0,1,0,0,10,12"
"202105050DEN,5/5/2021,Elfrid Payton,paytoel01,16.32,7,0.429,0,0,,0,1,0,0,6,6,2,1,0,4,1,6,15"
"202105110TOR,5/11/2021,Khem Birch,birchkh01,30.51,7,0.714,0,0,,3,3,1,3,1,4,3,0,1,1,3,13,17"
"202106010BRK,6/1/2021,Tristan Thompson,thomptr01,29.5,4,0.25,0,0,,7,8,0.875,4,5,9,1,0,4,0,3,9,16"
"202210300DET,10/30/2022,Kevon Looney,looneke01,21.32,4,0.25,0,0,,0,0,,6,3,9,2,0,0,0,2,2,8"
"202211020CLE,11/2/2022,Jarrett Allen,allenja01,36.23,11,0.545,0,0,,2,2,1,3,11,14,0,0,2,3,2,14,24"
"202211100NOP,11/10/2022,Jonas ValanÄiÅ«nas,valanjo01,19.38,8,0.25,1,1,1,2,2,1,2,9,11,1,0,0,0,3,7,19"
"202211230TOR,11/23/2022,Christian Koloko,kolokch01,17.48,3,0.333,0,0,,2,4,0.5,4,1,5,0,0,1,1,2,4,10"
"202211280BOS,11/28/2022,Mason Plumlee,plumlma01,27.18,5,0.4,0,0,,0,2,0,2,2,4,5,0,0,2,1,4,12"
"202212020CHO,12/2/2022,Deni Avdija,avdijde01,8.59,2,0,0,0,,0,0,,1,0,1,0,0,0,2,2,0,4"
"202212070ORL,12/7/2022,Markelle Fultz,fultzma01,27.47,4,0,0,0,,1,2,0.5,0,2,2,4,0,0,3,4,1,10"
"202212110NOP,12/11/2022,Deandre Ayton,aytonde01,32.5,18,0.722,0,0,,2,3,0.667,6,6,12,5,0,1,1,6,28,39"
"202212170SAS,12/17/2022,Jeremy Sochan,sochaje01,16.27,5,0.2,0,0,,0,2,0,0,4,4,4,0,0,0,4,2,12"
"202212260CHI,12/26/2022,DeMar DeRozan,derozde01,40.57,18,0.611,0,0,,9,10,0.9,1,4,5,9,1,0,2,3,31,46"
"202301060LAL,1/6/2023,Onyeka Okongwu,okongon01,28.2,6,0.833,0,0,,0,0,,3,4,7,1,3,1,1,0,10,12"
"202301130IND,1/13/2023,Isaiah Jackson,jacksis01,27.47,13,0.385,0,0,,0,0,,5,5,10,1,0,7,4,4,10,26"
"202301210TOR,1/21/2023,Marcus Smart,smartma01,15.35,1,1,0,0,,0,0,,0,2,2,4,0,1,3,1,2,2"
"202301310CLE,1/31/2023,Jarrett Allen,allenja01,34.04,8,0.75,0,0,,2,3,0.667,1,10,11,0,2,1,2,2,14,19"
"202302150BRK,2/15/2023,Bam Adebayo,adebaba01,37.48,19,0.526,0,0,,4,7,0.571,2,11,13,6,0,2,2,2,24,45"
"202303010NYK,3/1/2023,Nic Claxton,claxtni01,22.57,7,0.429,0,0,,3,4,0.75,0,8,8,3,0,1,2,3,9,18"
"202303010MIA,3/1/2023,Bam Adebayo,adebaba01,29.55,13,0.615,0,0,,4,4,1,2,6,8,2,1,0,2,0,20,30"
"202303030DEN,3/3/2023,Xavier Tillman Sr.,tillmxa01,29.33,8,0.5,1,1,1,2,3,0.667,2,8,10,4,0,0,0,4,11,20"
"202303040SAS,3/4/2023,Tre Jones,jonestr01,25.04,9,0.556,1,1,1,1,1,1,0,1,1,4,0,0,0,1,12,20"
"202303140CHO,3/14/2023,Nick Richards,richani01,22.47,3,1,0,0,,1,2,0.5,2,6,8,1,0,1,3,3,7,8"
"202303160TOR,3/16/2023,Shai Gilgeous-Alexander,gilgesh01,34.52,19,0.632,1,1,1,4,5,0.8,2,1,3,3,2,0,3,1,29,44"
"202303190MIL,3/19/2023,Jakob Poeltl,poeltja01,31.07,18,0.556,0,0,,0,0,,1,5,6,0,0,2,1,5,20,36"
"202304040WAS,4/4/2023,Anthony Gill,gillan01,21.36,4,0.5,1,1,1,3,5,0.6,1,2,3,1,0,0,1,2,8,14"
"202101070LAL,1/7/2021,Marc Gasol,gasolma01,13.34,1,1,0,0,,2,2,1,0,1,1,0,0,1,3,4,4,4"
"202101200ATL,1/20/2021,Mason Plumlee,plumlma01,27.08,11,0.455,0,0,,0,0,,4,5,9,1,0,0,2,6,10,22"
"202101270GSW,1/27/2021,Jarred Vanderbilt,vandeja01,24.49,3,0.667,0,0,,0,0,,2,5,7,4,2,1,0,2,4,6"
"202101310IND,1/31/2021,Tony Bradley,bradlto01,17.02,2,0.5,0,0,,0,0,,1,3,4,2,0,0,0,3,2,4"
"202102060PHI,2/6/2021,DeAndre Jordan,jordade01,26.36,6,0.5,0,0,,0,0,,1,6,7,4,2,0,1,2,6,12"
"202102100CHI,2/10/2021,Steven Adams,adamsst01,21.44,2,0.5,0,0,,1,1,1,4,2,6,2,2,0,1,1,3,5"
"202103120CHI,3/12/2021,Patrick Williams,willipa01,20.36,6,0.167,1,1,1,0,0,,1,1,2,0,1,0,3,0,3,13"
"202103150WAS,3/15/2021,Alex Len,lenal01,17.49,4,0.25,0,0,,1,4,0.25,0,2,2,2,0,0,0,2,3,12"
"202103170IND,3/17/2021,DeAndre Jordan,jordade01,20.27,5,1,0,0,,0,0,,2,3,5,0,0,0,3,1,10,10"
"202103280DEN,3/28/2021,Tony Snell,snellto01,22.35,1,1,1,1,1,2,2,1,0,1,1,2,0,0,0,2,5,5"
"202103310DET,3/31/2021,Saben Lee,leesa01,19.54,4,0.25,0,0,,0,0,,1,1,2,6,0,1,2,1,2,8"
"202103310BRK,3/31/2021,DeAndre Jordan,jordade01,11.48,1,1,0,0,,0,0,,0,1,1,0,0,0,0,2,2,2"
"202104040PHI,4/4/2021,Ben Simmons,simmobe01,26.01,6,0.333,0,0,,3,6,0.5,1,6,7,4,1,1,1,3,7,18"
"202104050MIN,4/5/2021,Josh Okogie,okogijo01,19.31,3,0.667,0,0,,2,2,1,3,0,3,0,1,0,0,2,6,8"
"202104260MIA,4/26/2021,Bam Adebayo,adebaba01,36.53,14,0.643,0,0,,5,6,0.833,2,4,6,2,2,2,1,1,23,34"
"202104290MIN,4/29/2021,Kevon Looney,looneke01,28.06,3,1,0,0,,1,1,1,0,2,2,5,0,1,0,3,7,7"
"202105080POR,5/8/2021,Jakob Poeltl,poeltja01,27.39,6,0.5,0,0,,0,0,,0,5,5,0,1,2,0,3,6,12"
"202105110CHI,5/11/2021,Patrick Williams,willipa01,22.48,2,1,1,1,1,0,0,,0,1,1,0,0,2,2,2,5,5"
"202105160NOP,5/16/2021,Willy HernangÃ³mez,hernawi01,29.35,11,0.727,0,0,,3,5,0.6,4,9,13,1,0,2,2,4,19,27"
"202105220BRK,5/22/2021,Tristan Thompson,thomptr01,24.5,4,0.5,0,0,,0,1,0,5,5,10,2,2,1,1,0,4,9"
"202105230PHI,5/23/2021,Alex Len,lenal01,16.11,6,0.667,0,0,,4,7,0.571,0,3,3,0,0,0,1,3,12,19"
"202105250LAC,5/25/2021,Ivica Zubac,zubaciv01,21.51,2,0.5,0,0,,0,0,,2,4,6,0,0,1,2,1,2,4"
"202105280BOS,5/28/2021,Tristan Thompson,thomptr01,30.28,13,0.615,0,0,,3,4,0.75,9,4,13,1,0,0,2,2,19,30"
"202210280DEN,10/28/2022,Jarred Vanderbilt,vandeja01,28.19,7,0.429,0,0,,1,2,0.5,0,7,7,2,0,1,1,2,7,16"
"202211040WAS,11/4/2022,Anthony Gill,gillan01,28.25,6,0.667,0,0,,0,0,,3,1,4,0,1,0,0,2,8,12"
"202211100NOP,11/10/2022,Herbert Jones,joneshe01,34.15,6,0.5,0,0,,4,4,1,1,2,3,2,0,0,1,2,10,16"
"202211120MIA,11/12/2022,Mason Plumlee,plumlma01,26.42,6,0.667,0,0,,1,1,1,1,4,5,5,0,0,3,2,9,13"
"202211130LAL,11/13/2022,Nic Claxton,claxtni01,15.51,4,1,0,0,,0,2,0,2,3,5,0,0,0,1,2,8,10"
"202211140GSW,11/14/2022,Jakob Poeltl,poeltja01,20.2,6,0.5,0,0,,0,0,,4,6,10,1,0,1,4,3,6,12"
"202211170POR,11/17/2022,Nic Claxton,claxtni01,25.2,8,0.625,0,0,,1,2,0.5,1,4,5,2,2,0,1,3,11,18"
"202211190LAC,11/19/2022,Jakob Poeltl,poeltja01,25.04,15,0.533,0,0,,4,4,1,3,5,8,3,1,0,0,1,20,34"
"202212070MIL,12/7/2022,Domantas Sabonis,sabondo01,36.16,11,0.818,1,1,1,4,4,1,4,8,12,7,1,0,2,3,23,27"
"202212120SAS,12/12/2022,Tre Jones,jonestr01,28.37,11,0.545,0,0,,3,3,1,1,3,4,5,2,0,3,2,15,25"
"202212170SAS,12/17/2022,Jakob Poeltl,poeltja01,20.5,6,0.5,0,0,,1,4,0.25,2,5,7,0,2,0,1,1,7,16"
"202212190HOU,12/19/2022,Alperen ÅžengÃ¼n,sengual01,23.42,10,0.8,0,0,,6,8,0.75,1,3,4,3,1,1,0,3,22,28"
"202212200PHO,12/20/2022,Deandre Ayton,aytonde01,32.08,20,0.6,0,0,,6,6,1,4,9,13,0,0,1,4,5,30,46"
"202212260DET,12/26/2022,Jalen Duren,durenja01,38.32,11,0.636,0,0,,1,1,1,7,5,12,2,1,1,1,3,15,23"
"202212260CLE,12/26/2022,Nic Claxton,claxtni01,30.06,9,0.556,0,0,,0,0,,1,3,4,0,1,2,1,2,10,18"
"202212300SAC,12/30/2022,Jarred Vanderbilt,vandeja01,23.53,4,0.75,0,0,,0,1,0,2,6,8,6,2,0,1,1,6,9"
"202212300CHI,12/30/2022,Jalen Duren,durenja01,30.5,4,0.5,0,0,,0,0,,3,5,8,3,0,0,1,2,4,8"
"202212310MEM,12/31/2022,Zion Williamson,willizi01,28.17,16,0.375,0,0,,8,10,0.8,3,6,9,1,0,0,9,3,20,42"
"202212310HOU,12/31/2022,Bruno Fernando,fernabr01,21.26,2,0,0,0,,1,2,0.5,2,3,5,0,0,2,1,4,1,6"
"202301020BRK,1/2/2023,Jakob Poeltl,poeltja01,19.42,8,0.375,0,0,,0,1,0,6,5,11,2,1,1,2,0,6,17"
"202301090SAC,1/8/2023,Markelle Fultz,fultzma01,28.06,10,0.8,0,0,,0,0,,1,1,2,5,0,1,2,1,16,20"
"202301130LAC,1/13/2023,Ivica Zubac,zubaciv01,27.57,7,0.286,0,0,,2,2,1,3,4,7,1,1,0,1,3,6,16"
"202301150BRK,1/15/2023,Nic Claxton,claxtni01,33.11,10,0.7,0,0,,3,6,0.5,5,8,13,0,0,4,3,3,17,26"
"202301230DET,1/23/2023,Jalen Duren,durenja01,31,13,0.692,0,0,,5,5,1,4,11,15,1,2,2,1,2,23,31"
"202301250PHI,1/25/2023,Ben Simmons,simmobe01,28.42,7,0.714,0,0,,2,3,0.667,0,5,5,5,0,1,2,4,12,17"
"202301250GSW,1/25/2023,Jonathan Kuminga,kuminjo01,23.44,6,0.833,1,1,1,2,2,1,2,0,2,4,0,1,4,4,13,15"
"202301310NYK,1/31/2023,Jericho Sims,simsje01,13.03,0,,0,0,,0,0,,1,2,3,1,1,1,0,4,0,0"
"202302090BRK,2/9/2023,Patrick Williams,willipa01,14.25,4,0.25,0,0,,0,0,,0,2,2,0,1,1,1,0,2,8"
"202302230ORL,2/23/2023,Jalen Duren,durenja01,22.37,5,0.2,0,0,,0,0,,2,6,8,0,1,0,2,5,2,10"
"202302260CLE,2/26/2023,Jakob Poeltl,poeltja01,27.14,6,0.833,0,0,,3,3,1,0,9,9,3,2,1,0,0,13,15"
"202302260ATL,2/26/2023,Clint Capela,capelca01,19.29,6,0.333,0,0,,2,6,0.333,6,6,12,0,0,1,1,0,6,18"
"202303010POR,3/1/2023,Josh Richardson,richajo01,20,2,1,1,1,1,0,0,,0,2,2,0,0,0,2,2,5,5"
"202303060DET,3/6/2023,James Wiseman,wisemja01,23.44,8,0.625,0,0,,2,2,1,2,5,7,0,0,3,4,6,12,18"
"202303180TOR,3/18/2023,Rudy Gobert,goberru01,30.44,8,0.5,0,0,,6,7,0.857,5,7,12,3,0,1,2,3,14,23"
"202303210ORL,3/21/2023,Daniel Gafford,gaffoda01,24.16,7,0.857,0,0,,0,0,,0,3,3,0,1,2,1,4,12,14"
"202303240UTA,3/24/2023,Walker Kessler,kesslwa01,16.42,6,0.5,0,0,,1,2,0.5,3,5,8,2,0,2,0,4,7,14"
"202303290MEM,3/29/2023,Xavier Tillman Sr.,tillmxa01,31.1,8,0.875,0,0,,2,3,0.667,5,4,9,5,1,1,1,5,16,19"
"202304090POR,4/9/2023,Trendon Watford,watfotr01,19.38,8,0.5,1,1,1,2,4,0.5,0,4,4,4,0,1,3,1,11,21"
"202304280LAL,4/28/2023,Xavier Tillman Sr.,tillmxa01,17.46,4,0.25,0,0,,0,0,,3,3,6,1,1,1,2,5,2,8"
"202012230IND,12/23/2020,Elfrid Payton,paytoel01,22.1,7,0.429,1,1,1,0,0,,1,1,2,3,1,0,5,3,7,15"
"202012290PHO,12/29/2020,Steven Adams,adamsst01,23.1,5,1,0,0,,1,2,0.5,3,5,8,1,0,1,4,1,11,12"
"202101030PHO,1/3/2021,Deandre Ayton,aytonde01,29.3,12,0.75,0,0,,6,7,0.857,4,4,8,2,1,0,1,5,24,31"
"202101050BRK,1/4/2021,Rudy Gobert,goberru01,27.1,10,0.3,0,0,,4,5,0.8,6,5,11,3,0,2,0,1,10,25"
"202101150LAL,1/15/2021,Zion Williamson,willizi01,34.07,19,0.474,0,0,,3,6,0.5,3,9,12,4,0,1,4,3,21,44"
"202101250ORL,1/25/2021,Bismack Biyombo,biyombi01,26.52,7,0.429,0,0,,1,2,0.5,4,3,7,1,0,1,1,3,7,16"
"202101260UTA,1/25/2021,Mitchell Robinson,robinmi01,30.41,4,0.75,0,0,,1,4,0.25,1,7,8,1,0,2,0,2,7,12"
"202101270ORL,1/27/2021,James Ennis III,ennisja01,19.15,4,0.75,1,1,1,1,2,0.5,0,1,1,0,1,0,1,5,8,11"
"202101300CHI,1/30/2021,Daniel Gafford,gaffoda01,10.06,4,0.5,0,0,,0,0,,2,3,5,1,0,0,0,1,4,8"
"202101310DEN,1/31/2021,Rudy Gobert,goberru01,25.3,7,0.571,0,0,,4,8,0.5,6,2,8,1,0,1,0,2,12,22"
"202102030ATL,2/3/2021,Clint Capela,capelca01,29.55,8,0.625,0,0,,0,2,0,3,10,13,2,2,3,3,4,10,18"
